Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
76,23.49,69.73,259.81,185.31,3097.33
77,23.49,69.7,258.77,185.0,3095.73
78,23.49,69.13,257.45,184.49,3099.52
79,23.49,68.71,260.5,185.31,3100.45
80,23.49,68.46,260.71,185.03,3100.96
81,28.49,73.15,258.71,185.31,3093.38
82,33.49,78.28,257.83,183.19,3086.8
83,38.49,85.4,253.53,181.81,3074.21
84,43.49,93.48,248.16,178.86,3056.66
85,48.49,101.95,245.24,176.62,3035.9
86,53.49,111.25,241.84,174.45,3019.9
87,56.07,119.61,238.61,171.97,2999.97
88,56.07,125.27,236.09,170.5,2986.78
89,56.07,128.47,235.18,169.23,2981.46
90,56.07,131.26,233.52,169.12,2975.35
91,56.07,133.25,231.86,167.94,2971.48
92,56.07,134.71,230.69,168.47,2967.6
93,56.07,135.53,229.9,169.0,2967.07
94,56.07,136.71,228.31,168.42,2968.08
95,56.07,137.06,229.74,167.39,2969.83
96,56.07,138.41,229.32,166.72,2971.15
97,56.07,139.0,228.86,166.28,2968.59
98,56.07,137.95,228.15,165.5,2965.84
99,56.07,137.87,228.8,167.0,2963.44
100,56.07,138.32,228.81,166.77,2965.12
101,56.07,137.59,229.41,166.78,2965.92
102,56.07,137.78,231.9,166.14,2964.44
103,51.07,134.3,231.99,166.6,2973.14
104,46.07,129.75,233.38,167.66,2984.1
105,41.07,122.42,236.91,170.13,2994.09
106,36.07,115.19,241.9,172.11,3009.64
107,31.07,106.35,245.27,175.41,3031.63
108,26.07,96.78,247.86,176.99,3047.83
109,21.24,87.11,253.56,179.66,3067.17
110,21.24,80.34,256.95,183.96,3079.2
111,21.24,75.37,259.17,185.5,3092.38
112,21.24,72.43,259.33,186.5,3100.13
113,21.24,70.49,260.3,187.58,3105.67
114,21.24,69.41,261.13,187.35,3107.51
115,21.24,68.57,260.24,187.62,3107.71
116,21.24,67.39,261.71,187.66,3108.74
117,21.24,65.87,262.21,188.06,3113.69
118,21.24,65.33,262.03,188.02,3115.98
119,21.24,65.06,261.97,188.28,3114.8
120,21.24,64.7,261.84,188.83,3111.55
121,21.24,64.73,260.85,189.31,3108.28
122,21.24,64.41,261.24,189.95,3108.91
123,21.24,64.19,263.02,187.98,3105.08
124,21.24,64.53,261.88,186.95,3108.22
125,21.24,64.67,261.02,186.02,3110.74
126,21.24,64.97,260.88,187.87,3108.62
127,21.24,64.1,260.19,187.65,3109.77
128,21.24,64.13,260.75,186.53,3112.97
129,21.24,64.22,261.91,187.02,3113.23
130,21.24,64.62,262.05,187.61,3115.17
131,21.24,64.71,262.41,187.43,3116.74
132,26.24,67.49,262.41,186.45,3105.8
133,31.24,72.98,258.57,185.56,3093.4
134,36.24,79.69,253.33,183.01,3074.88
135,41.24,86.97,250.95,181.31,3061.31
136,46.24,95.52,247.14,178.59,3042.34
137,51.24,105.9,244.04,175.62,3025.14
138,56.24,115.66,237.6,172.61,3005.38
139,61.24,125.04,233.51,171.24,2987.89
140,66.24,134.97,230.14,169.07,2969.92
141,69.95,144.58,225.57,166.32,2951.59
142,64.95,148.57,225.0,165.57,2943.21
143,59.95,148.42,225.51,166.77,2943.34
144,54.95,145.38,227.22,166.33,2950.14
145,49.95,139.07,229.99,167.86,2961.02
146,44.95,131.65,235.0,170.79,2976.95
147,39.95,123.34,237.84,172.85,2991.49
148,34.95,114.23,239.38,175.03,3011.3
149,30.91,105.19,244.79,175.97,3026.04
150,30.91,99.22,248.06,178.97,3038.36
151,35.91,98.62,247.91,178.67,3043.37
152,38.25,99.46,245.63,179.37,3044.92
153,38.25,99.41,246.01,179.07,3043.77
154,38.25,99.41,245.21,178.44,3044.78
155,38.25,99.96,244.94,178.64,3037.45
156,38.25,100.65,243.39,177.87,3035.77
157,38.25,99.91,245.21,177.25,3037.53
158,38.25,100.01,245.79,177.25,3035.51
159,38.25,100.61,245.23,175.94,3035.8
160,38.25,101.27,246.18,176.0,3036.16
161,38.25,100.83,248.08,176.62,3037.97
162,38.25,101.2,247.56,176.54,3037.99
163,38.25,100.9,246.93,177.27,3038.49
164,38.25,101.1,246.44,177.27,3034.75
165,38.25,101.33,246.53,178.0,3030.33
166,38.25,102.07,246.1,178.6,3030.95
167,38.25,101.86,244.89,177.64,3037.29
168,38.25,101.31,245.31,178.16,3038.9
169,43.25,104.24,244.4,178.85,3032.61
170,45.92,108.0,243.74,177.81,3027.35
171,45.92,110.84,241.07,177.51,3019.0
172,45.92,112.67,239.6,175.94,3016.1
173,45.92,113.96,239.74,176.18,3014.32
174,45.92,114.58,240.39,176.02,3009.71
175,45.92,115.43,240.58,174.71,3011.7
176,45.92,115.65,240.13,173.89,3010.36
177,45.92,115.34,238.25,174.74,3007.71
178,45.92,115.17,236.23,173.54,3004.89
179,45.92,116.37,237.97,172.66,3010.07
180,45.92,116.87,237.86,170.6,3013.78
181,50.92,119.19,235.11,171.07,3010.37
182,55.92,125.36,234.04,170.16,2998.51
183,56.71,129.86,232.8,168.99,2987.38
184,56.71,132.25,231.37,166.73,2979.51
185,56.71,133.81,229.54,166.65,2976.99
186,56.71,135.85,227.8,165.65,2974.32
187,56.71,136.33,227.92,166.19,2968.63
188,56.71,137.21,226.9,165.64,2967.22
189,51.71,133.83,229.31,166.63,2973.0
190,46.71,129.22,233.27,168.33,2981.39
191,41.71,122.79,236.57,170.36,2994.5
192,37.53,115.25,238.8,171.38,3012.36
193,37.53,109.7,240.34,172.63,3023.16
194,37.53,106.28,243.35,173.55,3029.48
195,37.53,103.62,246.36,173.78,3033.97
196,37.53,102.5,246.73,174.74,3036.23
197,37.53,101.41,246.43,176.34,3042.5
198,37.53,100.35,245.0,176.61,3047.62
199,37.53,99.49,247.01,178.21,3044.94
200,37.53,99.57,248.4,177.69,3043.77
201,37.53,99.05,246.73,177.11,3040.9
202,37.53,99.0,245.81,177.41,3038.23
203,42.53,102.26,245.42,174.94,3033.93
204,47.36,108.03,241.79,175.27,3024.91
205,47.36,111.11,240.41,174.61,3017.91
206,47.36,113.89,238.58,173.84,3010.03
207,47.36,115.5,237.31,172.57,3009.81
208,47.36,117.24,237.94,171.4,3006.56
209,47.36,118.51,237.91,173.31,3005.7
210,47.36,118.89,237.44,172.9,3004.0
211,47.36,119.42,238.38,171.87,3000.46
212,47.36,118.51,238.58,170.9,2996.34
213,47.36,118.99,240.71,171.1,2999.44
214,47.36,119.18,239.61,171.98,2999.35
215,47.36,119.4,239.26,171.33,3001.85
216,47.36,119.33,237.94,171.83,2999.82
217,47.36,119.38,237.76,172.63,3001.14
218,47.36,119.4,238.46,173.42,3002.24
219,47.36,119.42,236.82,172.02,3001.28
220,47.36,119.13,236.8,171.93,3002.27
221,47.36,119.2,237.46,171.88,2997.96
222,47.36,118.81,237.29,170.82,3000.09
223,47.36,119.77,238.53,170.88,3003.37
224,47.36,119.75,237.85,170.6,3002.07
225,47.36,119.47,237.88,171.02,3001.78
226,47.36,119.69,238.91,171.95,2998.6
227,42.36,115.19,240.74,171.65,3005.19
228,37.36,109.59,240.63,173.86,3018.07
229,32.36,102.81,241.11,175.44,3032.66
230,31.98,97.38,244.32,177.04,3043.72
231,31.98,94.37,245.42,179.13,3049.99
232,31.98,92.19,246.23,179.28,3052.93
233,31.98,90.6,249.43,178.64,3053.53
234,31.98,90.3,249.76,178.76,3059.25
235,31.98,89.06,252.02,179.92,3060.21
236,31.98,89.57,251.18,180.78,3062.45
237,31.98,89.49,252.75,180.81,3061.91
238,31.98,89.02,251.61,182.42,3063.32
239,31.98,88.28,251.68,180.86,3062.08
240,31.98,88.54,250.88,180.01,3064.24
241,31.98,88.72,251.7,181.05,3063.16
242,31.98,87.54,253.06,180.72,3063.41
243,31.98,88.09,253.06,181.11,3068.42
244,36.98,90.64,252.09,180.17,3061.84
245,41.98,96.66,249.63,178.99,3052.54
246,46.98,103.08,245.22,176.0,3033.65
247,51.98,111.93,240.52,173.67,3017.5
248,55.54,119.5,238.18,172.26,3001.1
249,55.54,124.56,236.01,170.38,2994.0
250,56.45,129.0,234.7,169.64,2987.02
251,56.45,131.96,231.75,168.9,2978.48
252,56.45,133.67,231.57,169.06,2973.85
253,56.45,135.29,232.56,168.37,2975.77
254,56.45,136.55,229.79,168.3,2972.67
255,56.45,137.8,230.28,167.54,2967.29
256,56.45,137.92,229.11,166.65,2967.15
257,56.45,138.94,229.53,165.54,2966.76
258,56.45,139.42,228.82,165.61,2965.63
259,51.45,135.62,230.93,166.57,2971.95
260,46.45,129.75,232.67,168.81,2981.09
261,41.45,123.81,235.28,170.89,2996.4
262,36.45,114.92,237.09,171.84,3014.07
263,31.45,105.98,244.03,174.17,3030.59
264,26.45,97.62,249.68,178.81,3050.5
265,23.9,89.91,252.92,181.49,3064.13
266,23.9,83.59,254.59,182.6,3073.87
267,23.9,79.92,256.71,183.59,3084.54
268,23.9,76.43,257.05,183.64,3085.33
269,23.9,74.52,257.36,185.45,3090.87
270,23.9,72.71,259.55,186.49,3094.66
271,23.9,71.84,258.27,185.94,3098.32
272,23.9,72.29,259.88,185.47,3096.47
273,23.9,71.73,257.69,185.78,3097.11
274,23.9,71.04,256.34,186.16,3096.8
275,23.9,70.2,254.11,185.98,3101.18
276,23.9,71.03,254.97,185.41,3101.65
277,23.9,70.28,256.32,186.09,3103.49
278,23.9,70.21,256.77,185.26,3100.67
279,23.9,70.09,257.65,186.11,3098.75
280,23.9,70.87,257.63,185.96,3097.51
281,23.9,69.45,258.77,186.46,3097.58
282,23.9,69.71,259.2,184.97,3097.13
283,23.9,70.25,257.73,185.41,3095.16
284,23.9,70.47,257.92,184.19,3098.82
285,23.9,70.02,257.28,184.79,3101.35
286,23.9,69.57,257.71,185.4,3102.22
287,28.9,72.99,256.22,183.91,3095.31
288,33.9,77.92,251.28,182.99,3085.8
289,38.9,83.87,248.38,181.58,3075.16
290,43.9,92.38,245.29,179.06,3060.04
291,48.9,101.15,241.7,176.15,3038.51
292,53.9,110.83,240.26,173.86,3018.53
293,58.9,120.54,234.71,171.81,2998.6
294,63.9,130.55,234.24,169.0,2977.0
295,68.9,140.58,230.51,165.99,2954.2
296,73.9,151.42,224.74,164.39,2936.98
297,77.94,160.87,221.55,161.1,2919.39
298,77.94,167.96,217.2,158.22,2907.43
299,77.94,172.5,214.59,155.96,2897.85
300,77.94,176.88,212.1,155.17,2893.12
301,77.94,178.88,211.88,153.74,2887.84
302,77.94,180.22,212.26,154.54,2888.46
303,77.94,181.55,211.86,154.3,2883.02
304,77.94,182.35,210.97,154.12,2882.54
305,77.94,182.24,211.77,154.91,2879.34
306,77.94,181.61,210.59,155.44,2877.29
307,77.94,181.73,209.87,155.45,2877.0
308,77.94,182.19,209.5,154.48,2873.85
309,77.94,183.44,209.28,155.08,2876.54
310,77.94,184.01,209.02,154.85,2875.33
311,77.94,183.46,209.6,153.42,2876.9
312,72.94,180.14,211.23,154.49,2881.41
313,67.94,175.19,213.04,156.61,2888.69
314,62.94,168.35,218.07,157.5,2901.43
315,57.94,160.6,221.19,160.1,2918.98
316,52.94,152.09,225.65,162.87,2936.1
317,47.94,143.0,230.91,165.27,2952.92
318,42.94,133.7,233.92,166.23,2974.64
319,47.94,129.53,234.71,167.99,2982.22
320,52.94,130.37,233.57,168.48,2980.34
321,57.94,134.13,232.47,166.76,2975.41
322,61.05,138.09,231.05,166.03,2969.53
323,61.05,141.01,228.9,165.22,2961.14
324,61.05,143.57,226.13,163.82,2953.73
325,61.05,145.44,227.52,163.6,2950.35
326,61.05,146.31,227.94,162.79,2948.79
327,61.05,147.37,227.57,163.11,2949.23
328,61.05,146.27,227.5,162.67,2943.87
329,61.05,147.11,228.14,162.77,2945.69
330,61.05,148.25,228.53,164.26,2946.54
331,61.05,148.27,225.88,163.79,2943.96
332,61.05,149.34,225.46,163.77,2944.95
333,61.05,149.02,227.03,163.15,2944.92
334,61.05,148.41,225.12,162.72,2944.45
335,56.05,144.99,225.75,162.69,2950.32
336,51.05,138.9,229.0,164.76,2957.98
337,46.05,132.09,231.12,167.3,2975.24
338,41.05,123.39,234.81,169.59,2992.28
339,36.05,115.19,237.88,171.97,3007.58
340,31.05,106.74,242.15,176.31,3026.05
341,27.32,97.58,244.62,177.06,3040.64
342,27.32,91.65,248.36,177.76,3055.81
343,27.32,87.13,250.62,180.8,3066.44
344,27.32,84.07,251.17,179.92,3070.64
345,27.32,81.95,251.45,180.92,3075.18
346,27.32,80.47,251.99,181.86,3079.08
347,27.32,79.0,254.43,182.31,3080.97
348,27.32,78.86,254.96,183.46,3082.83
349,27.32,78.11,255.45,182.59,3083.77
350,27.32,77.87,255.23,182.79,3080.45
351,27.32,77.45,255.38,183.16,3079.83
352,22.32,74.91,255.87,184.97,3088.61
353,22.06,72.01,258.93,184.55,3096.07
354,22.06,70.81,258.62,186.33,3098.95
355,22.06,69.61,259.34,186.35,3103.08
356,22.06,69.02,257.83,187.52,3101.03
357,22.06,68.73,259.65,186.42,3102.1
358,22.06,67.46,259.58,186.28,3105.23
359,22.06,67.78,261.15,185.97,3105.44
360,22.06,66.5,260.04,186.98,3109.24
361,22.06,65.83,259.48,186.89,3109.23
362,22.06,65.58,260.1,186.48,3108.63
363,22.06,66.08,260.12,186.21,3108.02
364,22.06,66.11,259.76,186.17,3111.01
365,22.06,66.46,259.58,186.91,3109.24
366,22.06,67.01,260.12,186.78,3109.57
367,22.06,66.02,259.0,185.82,3109.18
368,22.06,66.98,261.57,186.61,3109.63
369,22.06,65.89,260.6,186.03,3107.7
370,22.06,65.94,259.99,184.66,3109.09
371,22.06,65.52,260.28,186.95,3106.72
372,22.06,64.5,259.95,187.78,3110.82
373,22.06,64.43,260.5,187.1,3109.56
374,22.06,66.33,258.89,187.2,3109.83
375,22.06,66.87,259.37,187.32,3108.3
376,22.06,66.84,259.26,187.65,3107.27
377,22.06,66.88,259.49,188.28,3107.19
378,22.06,65.83,260.95,187.1,3105.92
379,27.06,68.83,260.73,184.39,3106.32
380,32.06,74.91,258.08,183.26,3094.6
381,35.53,81.08,255.71,182.33,3081.63
382,35.53,85.04,253.25,181.08,3074.65
383,35.53,88.21,248.74,180.89,3067.88
384,35.53,90.12,248.14,181.12,3064.65
385,35.53,91.08,248.51,179.62,3057.73
386,35.53,91.82,249.23,180.1,3056.67
387,35.53,93.02,249.38,179.16,3055.77
388,35.53,93.9,249.73,179.97,3055.69
389,35.53,94.28,250.29,179.56,3052.46
390,35.53,94.3,248.87,178.76,3051.67
391,35.53,94.0,248.31,177.22,3051.83
392,35.53,94.18,247.4,178.19,3053.39
393,35.53,93.5,246.83,177.72,3050.73
394,35.53,94.25,246.99,177.8,3046.74
395,35.53,94.67,246.06,178.11,3048.51
396,35.53,95.33,245.34,175.87,3049.56
397,35.53,96.02,247.39,176.88,3048.95
398,35.53,96.0,246.61,177.8,3050.51
399,35.53,96.11,249.79,178.38,3049.57
400,38.7,97.65,246.64,177.34,3045.12
401,38.7,98.47,246.35,176.52,3045.06
402,38.7,99.31,245.98,176.33,3043.09
403,38.7,100.32,244.87,175.94,3040.79
404,38.7,99.93,244.14,175.81,3041.53
405,38.7,100.47,244.64,176.78,3040.03
406,38.7,100.9,244.7,176.99,3038.09
407,38.7,99.8,244.7,178.07,3039.75
408,38.7,100.72,246.08,177.75,3039.46
409,38.7,100.58,245.49,177.95,3041.26
410,38.7,100.72,244.94,177.6,3041.32
411,38.7,100.16,242.71,176.91,3037.72
412,38.7,100.24,243.3,176.51,3040.54
413,38.7,100.72,244.16,177.09,3037.34
414,38.7,101.4,244.39,177.53,3035.23
415,38.7,100.59,245.44,177.61,3034.09
416,38.7,100.36,246.48,176.41,3038.38
417,38.7,100.18,246.73,176.26,3039.31
418,43.7,103.39,244.75,175.55,3030.45
419,48.7,109.43,241.66,173.93,3017.96
420,52.8,114.58,238.71,174.18,3007.61
421,52.8,119.46,236.58,172.44,2999.89
422,52.8,122.3,236.46,171.77,2994.83
423,52.8,125.09,235.29,171.28,2991.03
424,52.8,126.65,233.87,170.47,2990.29
425,52.8,127.3,231.99,169.96,2986.77
426,52.8,128.47,232.38,169.29,2987.19
427,57.8,131.54,230.23,168.01,2974.91
428,62.8,137.56,229.86,166.32,2963.77
429,67.8,144.38,225.98,163.92,2948.57
430,72.8,153.57,223.09,160.75,2932.76
431,77.8,162.76,220.3,159.79,2912.87
432,78.18,168.78,215.84,157.59,2901.44
433,78.18,173.89,213.91,155.99,2892.81
434,78.18,176.56,214.72,153.83,2886.84
435,78.18,179.85,213.2,153.46,2881.57
436,78.18,181.06,213.51,151.58,2881.67
437,78.18,181.28,212.08,151.69,2879.84
438,78.18,181.35,211.81,153.73,2874.66
439,78.18,182.29,210.5,153.88,2873.8
440,78.18,182.53,210.73,155.09,2872.78
441,78.18,183.38,209.11,153.73,2873.39
442,78.18,184.36,209.63,153.29,2872.87
443,78.18,183.68,210.24,153.93,2871.6
444,78.18,183.59,210.32,153.33,2871.49
445,78.18,184.81,209.87,152.98,2870.25
446,78.18,184.99,209.62,152.49,2873.32
447,78.18,185.45,209.03,151.18,2874.84
448,78.18,184.73,210.0,150.18,2875.67
449,78.18,183.95,210.63,151.06,2872.56
450,78.18,183.81,211.02,151.76,2873.46
451,76.37,183.77,209.53,153.78,2875.4
452,76.37,182.3,208.72,153.75,2878.4
453,76.37,181.66,210.99,152.72,2878.63
454,76.37,180.65,211.44,153.86,2877.97
455,76.37,179.27,211.59,154.31,2879.16
456,76.37,180.22,210.42,154.81,2881.57
457,76.37,179.38,210.99,154.22,2880.71
458,76.37,179.85,210.59,153.67,2880.34
459,76.37,179.46,209.71,154.36,2877.71
460,76.37,180.07,210.64,152.93,2876.82
461,76.37,180.76,209.84,152.93,2878.47
462,76.37,181.04,210.02,152.83,2881.55
463,76.37,181.71,211.37,153.3,2879.24
464,76.37,180.89,211.86,153.9,2882.05
465,76.37,181.06,210.18,154.82,2879.21
466,76.37,180.67,210.76,156.23,2885.44
467,76.37,180.88,210.73,156.04,2885.36
468,76.37,180.57,212.68,155.67,2884.52
469,76.37,180.85,212.68,155.89,2881.7
470,76.37,180.43,211.16,155.73,2882.52
471,76.37,180.64,212.86,155.26,2882.88
472,76.37,180.02,212.0,155.49,2883.49
473,76.37,179.98,211.71,153.88,2881.5
474,76.37,180.54,212.15,154.37,2880.92
475,76.37,180.5,211.22,154.87,2881.26
476,76.37,180.71,210.71,152.94,2882.85
477,76.37,180.37,210.02,153.87,2880.99
478,71.37,177.75,212.36,155.41,2884.03
479,66.37,172.84,214.99,156.54,2895.48
480,61.37,164.77,218.33,157.71,2906.81
481,56.37,156.09,222.73,159.75,2926.81
482,55.87,150.19,223.11,160.87,2940.83
483,55.87,146.26,224.55,162.68,2949.19
484,55.87,144.14,227.54,163.53,2951.38
485,55.87,141.89,228.46,163.64,2953.65
486,55.87,140.7,228.78,164.52,2955.64
487,55.87,139.57,228.14,165.82,2960.61
488,55.87,137.98,227.68,164.82,2960.73
489,55.87,137.74,226.84,164.58,2960.1
490,55.87,137.73,227.77,164.57,2962.02
491,55.87,137.33,228.08,166.48,2965.7
492,55.87,136.69,229.4,167.13,2963.29
493,55.87,137.29,231.03,166.03,2962.07
494,55.87,137.81,230.91,166.61,2963.73
495,55.87,137.86,229.22,167.41,2966.55
496,55.87,137.59,229.33,165.9,2967.21
497,55.87,137.8,229.38,166.97,2965.98
498,55.87,137.94,228.46,166.81,2965.43
499,55.87,137.87,228.47,166.6,2967.05
500,55.87,137.49,227.23,167.96,2969.3
501,55.87,136.8,228.67,167.11,2968.64
502,55.87,137.11,228.75,166.3,2966.26
503,55.87,136.72,228.21,166.3,2964.55
504,55.87,137.24,230.14,165.89,2965.26
505,55.87,137.52,230.49,166.12,2966.77
506,50.87,134.56,230.37,167.82,2974.41
507,45.87,128.71,232.91,169.77,2983.87
508,40.87,122.38,238.36,170.85,2994.44
509,35.87,114.42,241.89,172.95,3013.82
510,30.87,104.88,245.68,175.03,3034.21
511,25.87,96.71,248.22,177.42,3053.06
512,25.31,89.45,250.88,179.66,3061.42
513,25.31,84.55,252.09,180.81,3073.99
514,25.31,80.5,254.44,181.79,3079.34
515,22.71,77.06,256.32,183.62,3088.86
516,22.71,74.08,256.68,183.58,3091.93
517,22.71,73.64,258.79,183.34,3093.09
518,22.71,72.1,259.56,184.69,3096.03
519,22.71,70.72,259.89,185.26,3094.16
520,22.71,69.7,258.94,185.73,3103.27
521,22.71,69.28,258.81,186.66,3104.63
522,22.71,69.02,259.64,188.22,3102.36
523,22.71,68.86,258.69,188.11,3101.2
524,22.71,68.3,258.66,188.37,3104.06
525,22.71,67.5,258.98,187.2,3101.7
526,22.71,67.45,258.85,188.89,3103.44
527,22.71,66.84,258.49,188.95,3107.96
528,27.71,69.45,255.58,188.78,3101.44
529,32.71,74.79,254.61,184.15,3089.79
530,37.71,82.28,252.97,181.3,3075.51
531,42.71,90.04,249.8,178.51,3058.22
532,43.32,95.82,247.82,177.84,3045.7
533,43.32,100.39,244.33,176.45,3037.31
534,43.32,104.87,242.22,176.89,3033.52
535,43.32,106.84,243.62,176.32,3029.66
536,43.32,108.06,244.06,176.51,3024.93
537,43.32,108.27,242.94,175.12,3022.74
538,43.32,109.7,241.9,174.75,3021.45
539,48.32,113.66,238.04,173.14,3014.55
540,53.32,119.75,235.74,170.1,3004.24
541,58.32,126.25,232.08,168.07,2989.12
542,63.32,133.97,227.15,166.97,2975.15
543,68.32,143.14,223.42,164.42,2956.51
544,69.72,150.43,222.24,161.96,2941.87
545,69.72,155.45,222.2,161.38,2933.03
546,69.72,158.79,222.12,160.75,2923.55
547,69.72,161.78,221.36,159.62,2917.67
548,69.72,163.32,220.59,159.34,2915.14
549,69.72,165.1,220.66,159.14,2914.63
550,69.72,164.98,220.03,160.29,2911.95
551,69.72,164.99,218.55,158.78,2908.94
552,64.72,162.08,218.1,159.51,2916.51
553,59.72,156.63,222.06,161.32,2928.37
554,54.72,149.79,225.52,162.2,2942.69
555,49.72,142.26,228.99,163.65,2955.44
556,44.72,134.06,231.27,166.87,2969.72
557,39.72,125.29,233.93,170.1,2990.0
558,36.86,116.58,238.38,172.65,3005.49
559,36.86,110.32,238.95,174.5,3014.27
560,36.86,106.49,241.05,176.06,3022.95
561,36.86,103.6,243.52,176.87,3030.26
562,36.86,101.97,242.98,177.78,3035.97
563,36.86,100.09,243.89,177.78,3038.47
564,36.86,99.45,246.2,178.68,3037.86
565,36.86,99.15,247.72,178.75,3042.25
566,36.86,99.63,248.48,178.69,3045.23
567,36.86,99.03,248.01,178.17,3048.35
568,36.86,98.13,249.19,178.48,3044.61
569,36.86,98.1,246.38,178.8,3046.56
570,31.86,94.44,247.99,180.99,3051.44
571,28.46,89.51,251.39,183.14,3060.16
572,28.46,87.09,253.63,182.48,3065.29
573,28.46,85.5,255.54,183.07,3068.09
574,28.46,84.77,254.67,182.76,3072.49
575,28.46,84.04,255.44,183.14,3075.82
576,28.46,82.78,255.68,181.05,3076.63
577,28.46,81.99,254.14,181.92,3077.37
578,28.46,82.2,255.79,181.85,3078.01
579,28.46,81.43,254.92,182.33,3077.23
580,28.46,80.36,255.38,183.01,3076.6
581,28.46,80.63,254.45,183.19,3079.41
582,28.46,80.35,254.89,182.7,3079.34
583,28.46,80.07,253.99,182.62,3076.59
584,28.46,79.73,253.83,182.51,3077.27
585,28.46,79.71,254.48,183.33,3076.94
586,28.46,79.12,253.41,182.82,3077.3
587,28.46,78.93,252.41,182.49,3078.62
588,28.46,79.47,252.44,182.29,3077.33
589,28.46,79.54,252.18,182.94,3074.7
590,28.46,79.43,253.14,183.08,3081.82
591,28.46,79.7,252.51,182.96,3077.87
592,28.46,79.68,252.24,183.68,3077.56
593,28.46,79.64,252.25,184.85,3077.79
594,28.46,80.59,253.71,184.66,3079.34
595,24.47,78.03,253.06,184.63,3086.39
596,24.47,76.01,253.13,184.79,3093.05
597,24.47,75.25,254.52,185.71,3093.56
598,24.47,73.24,254.63,186.84,3094.11
599,24.47,72.57,255.33,187.91,3098.29
600,24.47,73.32,255.97,187.37,3094.94
601,24.47,73.48,255.4,186.93,3093.42
602,24.47,72.56,255.34,185.96,3093.48
603,24.47,71.94,256.96,184.88,3095.04
